药物类别,分类,化学名称,商品名称,单位,适应症,禁忌症
钙拮抗剂,苯烷胺类,维拉帕米,异搏定；异搏停；戊脉安；凡拉帕米；盖衡；盐酸维拉帕米缓释片；盐酸维拉帕米,"1.片剂: 40mg；
2.缓释片剂：240mg；
3.注射剂：2ml，5ml","1.口服用于控制心房扑动和心房颤动的心室率，以及预防阵发性室上性心动过速。静脉注射用于治疗快速性室上性心律失常，使阵发性室上性心动过速转为窦性，或在心房扑动或心房颤动时减慢心室率。
2.心绞痛：包括稳定型心绞痛或不稳定型心绞痛，以及冠状动脉痉挛所致的心绞痛，如变异型心绞痛。
3.肥厚型心肌病。
4.高血压。 
","1.心源性休克。
2.严重低血压，收缩压小于12kPa（90mmHg）。
3.充血性心力衰竭，除外继发于室上性心动过速而对维拉帕米有效者。
4.Ⅱ至Ⅲ度房室传导阻滞、病态窦房结综合综合征（除非已有起搏器）。
5.预激综合征伴房颤或房扑，用维拉帕米偶尔可转复为窦性心律，但也可能使更多的心房冲动经旁路进入心室，而增加心室率，甚至诱发室颤。
6.β-受体阻滞药使用后几小时内，禁忌使用维拉帕米注射剂。尤其是左室收缩功能异常患者，将导致急性血流动力学紊乱。
7.洋地黄中毒，绝对禁用注射剂，以免导致致命性房室传导阻滞。"
利尿剂,二氢吡啶类,硝苯地平,爱地平；艾克迪平；拜心通；拜新同；立克宁；尼非地平；金依恬；硝苯吡啶；硝苯啶；心痛定；利心平；拜新同；乐心平；利欣平；弥尔心；弥心平；尔康必同；久保卡通；伲福达；久保卡迪 ；拜新同控释片；圣通平,"1.片剂 ：10mg；
2.缓释片：10mg；
3.控释片：20mg；
4.喷雾剂：0.1g。
5.胶囊：（弥心平缓释胶囊）20mg",临床适用于预防和治疗冠心病心绞痛，特别是变异型心绞痛和冠状动脉痉挛所致心绞痛。适用于各种类型的高血压，对顽固性、重度高血压也有较好疗效。雷诺氏征。由于能降低后负荷，对顽固性充血性心力衰竭亦有良好疗效，宜于长期服用。另外，也适用于患有呼吸道阻塞性疾病的心绞痛病人，其疗效优于β受体阻滞剂。,"1.对硝苯地平或其他钙通道阻滞剂过敏。
2.严重主动脉狭窄。
3.不稳定心绞痛。
4.急性心肌梗死（发作4周内）。
5.低血压。
6.心源性休克。
7.脑水肿、颅内压增高患者禁用。
8.严重低血压、重度主动脉瓣狭窄、肥厚梗阻型心肌病和妊娠头3个月者禁用。"
,,氨氯地平,络活喜；苯磺酸氨氯地平；安洛地平；阿洛地平；二氢吡啶磺酸盐；,片剂：2.5mg，5mg，10mg,"1.高血压，可单独使用或与其他抗高血压药联合使用。
2.慢性稳定性心绞痛或血管痉挛性心绞痛，可单独使用或与其他抗心绞痛药联合使用，如硝酸酯类和（或）β-受体阻滞药。
","1.对氨氯地平或其他钙通道阻滞药过敏。
2.严重低血压。
"
,,尼莫地平,硝苯甲氧乙基异丙啶；尼莫通；尼膜同；尼立苏；维尔思；易夫林；宝依怡；尼达尔；尤尼欣；硝苯吡酯；耐孚；圣瑞恩尼莫地平；硝苯比酯；硝吗比啶,"1.20mg，30mg；
2.胶囊：20mg，30mg；
3.注射剂：10mg（50ml），4mg（10ml）。
",主要用于脑血管疾病，如蛛网膜下腔出血、脑供血不足、脑血管痉挛、脑卒中和偏头痛等。对突发性耳聋也有一定疗效。还可用于老人记忆减退及预防阿尔茨海默病，但效果不肯定。用于冠状动脉粥样硬化性心脏病心绞痛。,扩散性脑水肿或颅内压显著升高、年老多病者、严重心血管功能障碍、严重低血压者（收缩压小于90mmHg）、孕妇及哺乳妇女、严重肝功能损害。
,,尼卡地平,硝苯苄胺啶；佩尔地平；硝苯苄啶；佩尔地喷；硝苯乙比啶；硝比胺甲酯,"1.片剂：（尼卡地平）10mg，20mg，40mg；
2.缓释片剂:20mg, 40mg；
3.胶囊：（佩尔地平）20mg，30mg，40mg，60mg 。
4.缓释胶囊剂:40mg；
5.注射剂:2mg/2ml, 10mg/10ml。
",用于高血压、脑血管供血不足、冠状粥样硬化性心脏病（冠心病）稳定型心绞痛和变异型心绞痛,颅内出血或估计尚未止血的患者，脑出血急性发作期颅内压亢进者，过敏者，主动脉瓣狭窄者以及孕妇、哺乳期妇女禁用。
,,尼群地平,硝苯甲乙吡啶；硝苯乙吡啶；硝苯乙甲酯；舒麦特；尼群的平；硝苯甲乙比啶,"1.片剂：每片10mg；
2.胶囊：10mg。",用于冠状粥样硬化性心脏病（冠心病）心绞痛和高血压。尤其是患有这两种疾病的病人，也可用于充血性心力衰竭。,"1.孕妇及哺乳妇女不用。
2.对尼群地平或其他钙通道阻滞药过敏。
3.严重主动脉瓣狭窄。"
,,尼索地平,硝苯异丙啶；易立；尼索的平,片剂:5mg。,用于心绞痛和冠状粥样硬化性心脏病（冠心病），尤为适用于合并高血压和（或）充血性心力衰竭的患者。,孕妇、哺乳期妇女、心源性休克者及过敏者。
,,非洛地平,波依定；二氯苯吡啶；费乐地平,片剂：2.5mg，5mg，10mg。,用于高血压病、缺血性心脏病和心力衰竭病人。,"1.对非洛地平或其他钙通道阻滞药过敏。
2.严重低血压。
3.主动脉狭窄。
4.孕妇。"
,,贝尼地平,苄尼地平,片剂：2mg，4mg，8mg。,贝尼地平用于治疗高血压和心绞痛。,1心源性休克患者（服用本品有可能使症状恶化）。2孕妇或用可能妊娠的妇女、哺乳期妇女禁用
,,拉西地平,乐息平；乐司平；那西地平；司乐平；拉色地平；乐息下；乐息地平,片剂：每片2mg，4mg。,用于防治高血压。,"1.严重主动脉狭窄。
2.对拉西地平或其他钙通道阻滞药过敏。"
,苯噻氮卓类,地尔硫卓,乎尔兴；蒂尔丁；恬尔心；合贝爽；合心爽；哈氮卓,"1.（合心爽）30mg，（恬尔心）30mg。
2.缓释片剂：（蒂尔丁）200mg。
3.胶囊：（合贝爽）90mg。","1.心绞痛，包括由冠状动脉痉挛或狭窄所致的心绞痛，如静息性心绞痛、变异型心绞痛或劳力性心绞痛。2.高血压，可单用或与其他抗高血压药物合用。
3.室上性快速心律失常。注射剂可用于转复阵发性室上性心动过速、控制心房颤动或心房扑动的心室率。4.肥厚性心肌病。","1.对地尔硫卓或其他钙通道阻滞药过敏。
2.病窦综合综合征、Ⅱ度或Ⅲ度房室传导阻滞引起心动过缓并缺乏有效的人工心脏起搏。
3.严重低血压或心源性休克。
4.急性心肌梗死伴肺充血。
5.存在房室旁道（如WPW综合征、LGL综合征）或短PR综合征的心房颤动或心房扑动时禁止静脉给药。
6.室性心动过速禁止静脉给药。
7.新生儿禁用含苯甲醇的注射剂。
8.孕妇禁用注射剂。"
,三苯哌嗪类,氟桂利嗪,氟苯桂嗪；氟桂嗪；西比灵；孚瑞尔；米他兰；福拿新；奥力保克；脑灵；氟脑嗪；氟苯肉桂嗪；斯比林；氨苄哌烯苯；氟桂苯嗪；西比林；,"1.胶囊剂: 3mg，5mg；
2.片剂：3mg，5mg。","1.典型（有先兆）或非典型（无先兆）偏头痛的预防性治疗。
2.由前庭功能紊乱引起的眩晕的对症治疗。
3.治疗脑及外周血管循环障碍。
4.治疗缺血性脑血管病、记忆力减退、眩晕、耳鸣、外周血管病、血管性偏头痛，并可作为抗癫痫的辅助药。","1.对氟桂利嗪或桂利嗪过敏者；
2.有抑郁病史者；
3.颅内出血、脑梗死急性期；
4.脑出血性疾病急性期；
5.帕金森病及其他锥体外系疾病；
6.孕妇；
7.哺乳期妇女。"
,,桂利嗪,"脑益嗪；使脑力新；桂益嗪；肉桂苯哌嗪；肉桂嗪
","1.片剂：每片25mg；
2.胶囊：25mg；
3.注射剂：20mg（20ml）。",用于预防和治疗脑血流循环障碍，如脑血栓形成、脑梗死、短暂性大脑缺血性发作、脑动脉硬化症、记忆障碍、脑出血恢复期、蛛网膜下腔出血恢复期、脑外伤后遗症、前庭性眩晕与平衡障碍及耳鸣、偏头痛等。也可用于预防和治疗冠状动脉硬化及供血障碍。可治疗因末梢循环不良引起的疾病，如间歇性跛行及雷诺综合征（Raynaud′s病）等，并可缩短腿部溃疡愈合的时间。还可用于高血压、冠状动脉粥样硬化性心脏病、心绞痛和糖尿病性多发性神经炎、晕动病、内耳眩晕症等。,"1.对桂利嗪过敏者禁用。
2.肝功能损害时不宜用。
3.孕妇及哺乳妇女禁用。"
,,利多氟嗪,利多氟拉嗪；利多福心；立得安；,片剂：35mg；60mg。,用于治疗缺血性心脏病，特别是冠心病引起的心绞痛疗效较好。用于心绞痛的长时间治疗。 与普奈洛尔（心得安）合用可增强疗效。,心律失心律失常患者及孕妇禁用。
,噻嗪类利尿剂,氯噻嗪,地钮力；克尿塞；氯消疾,"1.片剂：0.25g，0.5g；
2.混悬剂：250mg/5mL；
3.注射剂：噻嗪钠盐（thiazide sodium）0.5g；4.合剂片：（1）甲基多巴氯噻嗪（含甲基多巴250mg和氯噻嗪150mg；）（2）氯噻嗪/利血平：①含氯噻嗪250mg和利血平0.125mg②含氯噻嗪500mg和利血平0.25mg。
","1.适用于水肿性疾病，如充血性心力衰竭、肝硬化腹腹水、肾病综合征、急慢性肾炎水肿、慢性肾功能衰竭早期、肾上腺皮质激素和雌激素治疗所致的水钠潴留，以排泄体内过多的钠和水，减少细胞外液容量，消除水肿。
2.用于原发性高血压。
3.治疗中枢性尿崩症或肾性尿崩症。
4.用于肾结石，主要是预防钙盐形成的结石。","1.肝性脑病。
2.对氢氯噻嗪、磺酰胺类药过敏者。
3.哺乳期妇女。"
,,氯噻酮,氯酞酮；海因通；氯肽酮；海固酮,片剂：25mg，50mg，100mg。,充血性心力衰充血性心力衰竭、肝硬化腹腹水、肾病综合征、急慢性肾炎水肿、慢性肾功能衰竭早期等水肿性疾病及原发性高血压,对氯噻酮过敏者忌用。急性高血钙状态禁用。孕妇禁用。
,袢利尿剂,呋塞米,速尿；利尿磺酸；速尿灵；利尿灵；腹安酸；腹水宁；福洛片；呋喃苯胺酸；利尿磺胺,"1.片剂：每片20mg；40mg。
2.注射剂：20mg（2ml）。",用于心、肝、肾多种类型水肿及急性肺水肿，心力衰竭、肾功能衰竭、毒物排泄高钙血症。在患者肾滤过率低（小于每分钟10ml）或应用氯噻酮无效时，应用呋塞米仍有利尿作用。其作用不受酸碱平衡变化的影响。高血压危象的辅助治疗。,"1.长期应用时宜适当补充钾盐，低钾血者禁用。
2.呋塞米可经乳汁排出并有致畸作用，孕妇及哺乳妇女禁用。
3.肝性脑病者禁用。"
,,托拉塞米,托拉沙得,"10mg，20mg；
2.片剂：2.5mg，5mg，10mg。
","高血压、慢性充血性心力衰竭、肝硬化腹腹水及肾病综合征等伴发的水肿。
",无绝对禁忌症
,保钾利尿剂,螺内酯,安体舒通；螺旋内酯固醇；阿尔达克通；螺旋内酯甾酮,"1.片剂：20mg；
2.胶囊：20mg。",慢性充血性心力衰竭、肝硬化腹腹水及肾病综合征等并发的水肿。诊断和治疗原发性醛固酮增多症。女性痤疮、女性多毛症、雄激素源性脱发。,肾衰竭及血钾偏高者禁用。
,,武都力,"武都力片, 复方盐酸阿米洛利片
",每片含盐酸阿米洛利２．５ｍｇ，氢氯噻嗪２５ｍｇ。,适用于心力衰竭，肝硬化等病引起的水肿及腹水，以及高血压病等。,本品开始服药时，偶有口干、恶心、腹胀、头昏、胸闷等不良反应。一般无需停药，长期服用，应定期查血钾、钠、氯水平、高血钾症禁用，严重肾功能减退慎用。
