药物类别,分类,化学名称,商品名称,单位,适应症,禁忌症
他汀类,,洛伐他汀,"美降之、罗华宁、洛特、洛之特、明维新
",1、片剂：每片10mg；20mg；40mg。2、胶囊：(1) 2mg (2) 4mg,用于治疗高胆固醇血症和混合型高脂血症,"1、对洛伐他汀过敏的患者禁用。对其它HMG-CoA还原酶抑制剂过敏者慎用。
2、有活动性肝病或不明原因血氨基转移酶持续升高的患者禁用。"
,,辛伐他汀,"舒降之、理舒达、京必舒新、泽之浩、苏之、辛可
",（1）5mg （2）10mg（3）20mg ,用于高脂血症、冠心病。,"（1）对本品任何成分过敏者。
（2）活动性肝炎或无法解释的持续血清转氨酶升高者。
（3）孕妇和哺乳期妇女。"
,,普伐他汀,"普拉固、美百乐镇
",（1）5mg；（2）10mg；（3）20mg,适用于饮食限制仍不能控制的原发性高胆固醇血症或合并有高甘油三酯血症患者(IIa和IIb型),对本品过敏者，活动性肝炎或肝功能试验持续异常者；以及妊娠及哺乳妇女禁用
,,氟伐他汀,来适可,80mg,"用于饮食未能完全控制的原发性高胆固醇血症和混合型血脂异常(FredricksonⅡa和Ⅱb型)的患者。 
",1.已知对氟伐他汀或药物的其它任何成分过敏的患者。 2.活动性肝病或持续地不能解释的转氨酶升高。 3.怀孕和哺乳期妇女以及未采取可靠避孕措施的育龄妇女。 4.严重肾功能不全(肌酐大于260(mol/l，肌酐清除率小于30ml/min)的患者。
,,阿托伐他汀,"立普妥、阿乐

  
",（1）10mg；（2）20mg；（3）40mg,用于高胆固醇血症、冠心病,1.活动性肝脏疾病，可包括原因不明的肝脏转氨酶持续升高。2.已知对本品中任何成分过敏。3.妊娠。4.哺乳期妇女
贝特类,,"吉非贝齐

 
",诺衡，二甲苯氧庚酸，吉非罗齐,胶囊剂：0.3g，0.6g。,临床主要用于原发性和继发性高血脂，糖尿病引起的血脂过高等。,孕妇慎用。肝肾功能不全者禁用。
,,氯贝特,"氯苯丁酯、对氯苯氧异丁酸乙酯、脑益嗪、桂益嗪、肉桂嗪、肉桂苯哌嗪、氯贝丁酯、桂利嗪（安妥明）
",0.125g，0.25g，0.5g。胶囊剂：0.25g，0.5g,临床应用于Ⅱb、Ⅲ、Ⅳ型高血脂症。尤其对家族性Ⅲ型高血脂症效果更好。也可用于消退黄色瘤。对HDL-c下降的轻度高胆固醇血症也有较好疗效。,肝肾功能不良、胆道疾病、孕妇、妇女授乳期禁用。
,,非诺贝特,苯酰降脂丙酯、普鲁脂芬、力平之,胶囊 标准化力平脂 100 mg x 25粒。300mg x 10粒。胶囊 微粒化力平脂 200 mg x 10粒。,适用于除高脂蛋白血症ⅠⅠ型和纯合子家族性高胆固醇血症外的各种高脂蛋白血症的治疗。最适用于治疗高三酰甘油血症及以TG增高为主的混合型高脂血症。成人饮食控制疗法不理想的高胆固醇血症和／或高甘油三酯血症。,严重肝肾功能不全者、孕妇、对非诺贝特过敏者禁用。
,,"苯扎贝特

 
",阿贝他,"1.普通片：200mg；
2.缓释片剂：400mg
",主要用于高脂蛋白血症ⅠⅠ型、高脂蛋白血症ⅡⅡ型、高脂蛋白血症ⅢⅢ型、高脂蛋白血症ⅣⅣ型和高脂蛋白血症ⅤⅤ型。,肝脏疾病（除外常伴发于血甘油三酯过高症的脂肪肝），胆囊疾病，严重肝肾功能不全者和孕妇、儿童均不宜使用。
烟酸类,,阿昔莫司,阿西莫司、乐脂平、吡莫酸、氧甲吡嗪,胶囊：0.25g。,高脂蛋白血症Ⅱa型、高脂蛋白血症Ⅲb型、高脂蛋白血症Ⅲ型、高脂蛋白血症Ⅳ型、高脂蛋白血,对本品过敏者、孕妇及哺乳期妇女禁用，严重溃疡病、肝功能严重损害者禁用。
,,烟酸,烟酸片,"1.片剂：每片50mg，100mg；
2.注射剂：50mg（1ml），100mg（1ml），20mg（2ml），100mg（2ml），50mg（5ml）。
",1、用于防治糙皮病等烟酸缺乏病。也用作血管扩张药，治疗高脂血症。也用于治疗血管性偏头痛、头痛、脑动脉血栓形成、肺栓塞、内耳眩晕症、冻伤、中心性视网膜脉络膜炎等。2、严格控制或选择饮食，或接受肠道外营养的病人，因营养不良体重骤减，妊娠期、哺乳期，以及服用异烟肼者，严重烟瘾、酗酒、吸毒者，烟酸需要量均增加。,"痛风、动脉出血、低血压、高尿酸血症、肝功能损害者、糖尿病、恶性心律失常者、有过敏史者禁用、消化性溃疡患者禁用。
"
,,烟酸肌醇酯,烟酸肌醇酯片 ,片剂：0.2g/片,本品用于高脂血症、动脉粥样硬化、各种末梢血管障碍性疾病（如闭塞性动脉硬化症、肢端动脉痉挛症、冻伤、血管性偏头痛等）的辅助治疗。,1．对本品或其它烟酸类药物过敏者禁用。 2．患活动性肝病、不明原因氨基转移酶升高等肝功能异常者禁用。 3．活动性溃疡病、有出血倾向者禁用。
胆酸螯合剂,,考来烯胺,消胆胺、降胆敏 ,粉剂： 4g/包。,本品可用于Ⅱa型高脂血症，高胆固醇血症。本品降低血浆总胆固醇和低密度脂蛋白浓度，对血清甘油三酯浓度无影响或使之轻度升高，因此，对单纯甘油三酯升高者无效。本品还可用于胆管不完全阻塞所致的瘙痒。,1、对考来烯胺过敏的患者禁用； 2、胆道完全闭塞的患者禁用。
,,考来替泊,降胆宁,粉剂：10g,对高胆固醇血症，一般可使总胆固醇下降26%；LDL-胆固醇下降43%；Tc下降22%；HDL-胆固醇升高37%；LDL/HDL比值降低57%。,
胆固醇吸收抑制剂,,依泽替米贝,艾泽庭,,临床上可以单独用于不能耐受其他降脂药的患者，也可以与他汀类合用于不能耐受大剂量他汀类药物的患者。,禁用于已知对此药及其添加剂过敏者；禁用于活动性肝病，或不明原因的血清转氨酶持续升高的患者。
